"item_type","status","deadline","venue","alignment","interest_axes","recommended_topic","recommendation"
"저널","확정","2026-07-15","한국정책과학학회보","A","정책과정; 민군관계; 정책서사","초급간부 모집·처우를 정책서사모형으로 분석","초안이 이미 있으면 투고, 아니면 다음 호 준비"
"저널","확정","2026-07-15","한국사회정책","A","정책피드백; 대상집단; 사회정책","병역 의무와 청년 대상집단의 정책피드백 효과","사회권·복지·청년정책 프레임을 강하게 넣을 때 추천"
"저널","확정","2026-07-17","한국지방행정학회보","B","정책집행; 지방행정; 거버넌스","병무행정·예비군·보훈서비스의 지방정부 집행 구조","지역 집행 자료가 있어야 추천"
"저널","확정","2026-07-25","행정논총","A","공공서비스동기; 관료적저항; 행정이론","PSM과 관료적저항의 이론적 결합","완성도 높은 이론·실증 원고만 추천"
"저널","확정","2026-07-30","국방연구","S","민군관계; 군인사정책; 국방정책","초급간부 모집난과 군 인사정책의 정책피드백","국방·안보 프레임의 강한 후보"
"저널","확정","2026-07-30","한국동북아논총","B","민군관계; 국제안보; 북한/통일정책","병역·군인사 문제와 동북아 안보환경 변화","국제관계 배경을 넣을 때만 추천"
"저널","확정","2026-07-31","한국행정논집","A","관료적저항; 공공서비스동기; 행정학 일반","관료제 내부 저항과 정책집행 실패","일반 행정학 독자에게 맞게 개념 정리 필요"
"저널","확정","2026-07-31","경찰법학","B","공공안전; 법제; 안보정책","민간 해커·사이버 예비전력 운용의 법제도 설계","법제·권한·책임 구조를 전면화할 때 추천"
"저널","확정","2026-07-31","한국보훈논총","A","정책피드백; 보훈정책; 군사회복지","보훈정책 대상집단의 정책피드백과 군 복무 이후 시민권","보훈·병역·청년 경로를 연결할 때 추천"
"저널","확정","2026-08-03","현대사회와 행정","S","정책피드백; 관료적저항; 정책담론; 행정학","병역 의무 공식서사와 청년 대상집단 구성","이번 라운드 현실적 핵심 후보"
"저널","확정","2026-08-05","치안정책연구","A","공공안전; 안보정책; 위기관리","사이버 예비전력·민간 해커 활용의 치안정책 조건","치안·공공안전 언어로 전환하면 추천"
"저널","확정","2026-08-07","한국공안행정학회보","A","공공안전; 위기관리; 안보정책","사이버 예비전력과 공공안전 거버넌스","P5의 현실적 8월 초 투고처"
"저널","확정","2026-08-10","지방행정연구","B","지방행정; 거버넌스; 정책집행","지역 단위 병무·보훈·위기관리 서비스의 정책집행","지역자료가 없으면 낮은 우선순위"
"저널","확정","2026-08-10","민주주의와 인권","A","정책피드백; 시민권; 인권; 대상집단","병역 의무와 시민권, 청년 대상집단의 권리 담론","병역을 권리·민주주의 문제로 재구성할 때 추천"
"저널","확정","2026-08-15","정책분석평가학회보","S","정책분석; 증거기반정책; 연구방법론","국회회의록을 활용한 정책증거 사용 분석","P1 최우선"
"저널","확정","2026-08-15","한국자치행정학보","B","지방행정; 정책집행; 거버넌스","지방정부의 보훈·병무·재난안전 정책집행","지방 사례가 있을 때만 추천"
"저널","확정","2026-08-15","한국지역정보화학회지","A","디지털정부; 정책분석; 정보화정책","국회회의록 텍스트 분석과 디지털 정책증거","텍스트마이닝·AI 분석이면 강함"
"저널","확정","2026-08-23","오토피아","B","정책담론; 시민사회; 비판이론","병역 의무 공식서사와 대안적 시민사회 담론","비판적·담론적 이론화가 있을 때 추천"
"저널","확정","2026-08-31","국방정책연구","S","민군관계; 군인사정책; 국방정책","초급간부 모집·처우 정책의 실패와 정책피드백","P2 최우선"
